ListEntry,Name,Grade,hyperlink,NGR,Easting,Northing,lat,lon
1000277,"THE MANOR HOUSE, UPTON GREY",II*,https://historicengland.org.uk/listing/the-list/list-entry/1000277,SU 69779 48497,469779,148496,51.23139417911182,-1.0019880446794343
1000278,COMPTON END,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000278,SU 46249 25864,446248,125863,51.030278600031444,-1.3418733141487507
1000279,LITTLEWORTH CROSS (FORMERLY HETHERSETT),II,https://historicengland.org.uk/listing/the-list/list-entry/1000279,SU 89767 45698,489767,145698,51.20345116498747,-0.7164823567336207
1000280,CADLAND HOUSE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000280,SZ 46890 99805,446891,99808,50.795946198813354,-1.3360451940942832
1000281,BUSHY PARK,I,https://historicengland.org.uk/listing/the-list/list-entry/1000281,TQ 15837 69642,515837,169642,51.41397348985306,-0.3357053993977208
1000282,HAM HOUSE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000282,TQ 17390 72752,517390,172752,51.441606071222964,-0.3123548023039381
1000283,BATTERSEA PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000283,TQ 28049 77164,528049,177164,51.47894918695761,-0.1574760319805205
1000284,"MONUMENT GROUNDS, SHEFFIELD",II,https://historicengland.org.uk/listing/the-list/list-entry/1000284,SK 36130 86707,436130,386707,53.37599018264915,-1.4583810062722984
1000285,WANDSWORTH PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000285,TQ 24853 75245,524853,175245,51.4624167304701,-0.20415138246887102
1000286,CITY OF LONDON CEMETERY,I,https://historicengland.org.uk/listing/the-list/list-entry/1000286,TQ 42257 86441,542257,186441,51.55891805501046,0.050728028467438686
1000287,OSTERLEY PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000287,TQ 14414 78372,514414,178372,51.4927258560503,-0.3533376613240932
1000288,FOOTS CRAY PLACE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000288,TQ4740971818,547881,171667,51.42472461407268,0.12561325721373487
1000289,Lamorbey Park,II,https://historicengland.org.uk/listing/the-list/list-entry/1000289,TQ4669873240,546698,173227,51.43904912076402,0.10925593159945593
1000290,GODMERSHAM PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000290,TR 05674 51238,605675,151237,51.22326115215583,0.9440798553996926
1000291,WALMER CASTLE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000291,TR 37579 50111,637579,150111,51.20078049944914,1.3994259280135712
1000292,RAINTHORPE HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000292,TM 20255 97315,620255,297318,52.52917688322708,1.2456969885399143
1000293,BELMONT PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000293,TQ9831256532,598489,156354,51.271757731200815,0.8441429204545969
1000294,RIVERHILL HOUSE,II,https://historicengland.org.uk/listing/the-list/list-entry/1000294,TQ 54271 51922,554272,151921,51.24560461483507,0.2089184645872828
1000295,OLANTIGH TOWERS,II,https://historicengland.org.uk/listing/the-list/list-entry/1000295,TR 06061 48093,606061,148093,51.19488894804583,0.9477954925100596
1000296,"THE GRANGE, NORTHINGTON",II*,https://historicengland.org.uk/listing/the-list/list-entry/1000296,SU5561836505,455952,136266,51.122953706450396,-1.2018992027815212
1000297,DOGMERSFIELD PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000297,SU 76902 51801,476902,151800,51.26018379002088,-0.8992809768953739
1000298,HALE PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000298,SU1791018737,418363,118535,50.96594605633132,-1.739877258326473
1000299,ALBURY PARK,I,https://historicengland.org.uk/listing/the-list/list-entry/1000299,TQ 06407 47654,506407,147655,51.21818837186391,-0.47780532853512575
1000300,POLESDEN LACEY,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000300,TQ1398152424,513951,152331,51.258763059704165,-0.3683465555478454
1000301,BUSBRIDGE LAKES,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000301,SU9756042420,497382,142163,51.170428151686394,-0.6084737947846302
1000302,VANN,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000302,SU 98337 37474,498336,137475,51.128123255900846,-0.5961117392684911
1000303,GREAT FOSTERS,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000303,TQ 01405 69844,501405,169844,51.418551224771704,-0.5430960954399406
1000304,HOLLYCOMBE HOUSE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000304,"SU 84995 29278, SU 84879 28636",484995,129278,51.05656409917064,-0.7886380980058959
1000305,KIDBROOKE PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000305,TQ 41836 34124,541839,134123,51.08889031793943,0.023897947216288313
1000306,HAMMERWOOD PARK,II,https://historicengland.org.uk/listing/the-list/list-entry/1000306,TQ 43971 38534,543968,138535,51.128007826113645,0.056035332271725906
1000307,GLYNDE PLACE,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000307,"TQ4571209812, TQ4552609221",545753,109565,50.86722263975346,0.069908176136757455
1000308,BUXTED PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000308,TQ4795522945,548587,122864,50.98600970908504,0.11556805524254715
1000309,BATTLE ABBEY,II,https://historicengland.org.uk/listing/the-list/list-entry/1000309,TQ 74769 15398,574770,115396,50.91157184382293,0.4846725122843579
1000310,MAGDALEN HILL CEMETERY,II,https://historicengland.org.uk/listing/the-list/list-entry/1000310,SU 51247 29288,451247,129288,51.060651267550185,-1.2701092275871844
1000311,BLAKE HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000311,TL 53961 05085,553960,205086,51.7233635005371,0.2276136172705552
1000312,AUDLEY END,I,https://historicengland.org.uk/listing/the-list/list-entry/1000312,TL 52292 37889,552293,237887,52.01850888804733,0.2179528901027413
1000313,GOSFIELD HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000313,TL7676829599,577310,229550,51.93620634838003,0.577850230970368
1000314,THORNDON HALL,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000314,TQ6097691816,561955,191254,51.596850723273604,0.3368595204510984
1000315,HILL HALL,II,https://historicengland.org.uk/listing/the-list/list-entry/1000315,TQ4866699477,548872,199628,51.67569712978591,0.15167931843111082
1000316,STANSTEAD BURY,II,https://historicengland.org.uk/listing/the-list/list-entry/1000316,TL 40314 11249,540313,211250,51.782327457370535,0.032659878820752414
1000317,WOODHALL PARK,II*,https://historicengland.org.uk/listing/the-list/list-entry/1000317,TL 31671 18545,531673,218546,51.849987058600504,-0.08974257533008632
1000318,HUGHENDEN MANOR,II,https://historicengland.org.uk/listing/the-list/list-entry/1000318,"SU 85655 94619, SU8618595249",485845,195655,51.653141167720754,-0.7605160394956942
