url,reference,text_content,error
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30583,1004204,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40752,1004254,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36088,1004310,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41298,1004433,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35632,1004443,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33162,1004459,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34176,1004468,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40730,1004494,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39721,1004498,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45688,1004552,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34877,1004567,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40513,1004617,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27159,1004673,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45182,1004697,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33714,1004725,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33827,1004735,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38698,1004742,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33825,1004746,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34716,1004754,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39601,1004773,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36692,1004912,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45380,1004935,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43650,1004936,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/44482,1004955,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36931,1004958,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36928,1004976,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45940,1004977,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38121,1004978,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42392,1004985,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43537,1004991,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42954,1004999,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46205,1005015,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43664,1005018,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43602,1005073,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/44616,1005135,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29128,1005140,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/2069351,1005151,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/48001,1005298,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37980,1005514,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28817,1005541,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45175,1005587,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33359,1005623,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33025,1005670,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38680,1005693,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35738,1005721,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/37789,1005741,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/410490,1005770,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49323,1005898,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/408422,1005908,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/46450,1005911,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26203,1006019,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33903,1006204,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42043,1006213,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/47999,1006334,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28307,1006427,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28756,1006455,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28304,1006459,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/28190,1006466,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36362,1006616,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/38125,1006636,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40832,1006684,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40833,1006691,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39379,1006696,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40274,1006706,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39715,1006716,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34833,1006717,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26570,1006793,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29801,1006855,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/29799,1006878,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30999,1006943,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/34009,1006967,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/49565,1007014,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33184,1007306,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45028,1007433,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41182,1007435,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/36507,1007667,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/39612,1007668,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33272,1007670,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/43385,1007712,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40538,1007775,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41523,1008067,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35997,1008107,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/35157,1008255,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45459,1008293,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41050,1008467,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40919,1008469,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/40183,1009124,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/33406,1009142,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/41204,1009303,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/42657,1009315,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26572,1009396,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/26617,1009449,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/27876,1009530,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/30337,1009531,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/2069354,1009540,NA,cannot open the connection
https://historicengland.org.uk/advice/heritage-at-risk/search-register/list-entry/45218,1009543,NA,cannot open the connection
